step,token,entropy,fisher_trace,temperature,top_p,action
0,The,1.25127405,,0.6000,0.9200,hold
1, nature,0.52777989,,0.6000,0.9200,hold
2, of,0.00227822,,0.6000,0.9200,hold
3, time,0.00056946,,0.6000,0.9200,hold
4, is,0.29207159,,0.6000,0.9200,hold
5, one,0.68079753,,0.6000,0.9200,hold
6, of,0.00030144,,0.6000,0.9200,hold
7, the,0.04494405,,0.6000,0.9200,hold
8, most,0.28981692,,0.6000,0.9200,hold
9, fundamental,0.91169843,,0.6000,0.9200,hold
10, and,0.57307084,,0.6000,0.9200,hold
11, mysterious,2.31137811,,0.6000,0.9200,hold
12, aspects,0.75007344,,0.6000,0.9200,hold
13, of,0.00894179,,0.6000,0.9200,hold
14, our,0.67898372,,0.6000,0.9200,hold
15, universe,0.53537907,,0.6000,0.9200,hold
16,",",0.64511226,,0.6000,0.9200,hold
17, and,1.87394511,,0.6000,0.9200,hold
18, understanding,1.53645826,,0.6000,0.9200,hold
19, its,0.40853701,,0.6000,0.9200,hold
20, nature,0.98256951,,0.6000,0.9200,hold
21, has,1.52569049,,0.6000,0.9200,hold
22, been,1.03462677,,0.6000,0.9200,hold
23, a,0.39561573,,0.6000,0.9200,hold
24, quest,2.27451130,,0.6000,0.9200,hold
25, for,1.22572246,,0.6000,0.9200,hold
26, human,1.88931957,,0.6000,0.9200,hold
27, knowledge,1.72173680,,0.6000,0.9200,hold
28, throughout,1.27314335,,0.6000,0.9200,hold
29, history,0.26518131,,0.6000,0.9200,hold
30,.,0.25865063,,0.6000,0.9200,hold
31, There,2.25601219,384.43920555,0.6000,0.9200,hold
