step,entropy
0,0.44806257
1,2.14865397
2,1.35432915
3,0.75445888
4,1.81380440
5,0.51222246
6,2.31768330
7,0.89914632
8,0.79088866
9,0.67264546
10,0.09988531
11,0.36105232
12,2.27769714
13,1.76182656
14,2.14327866
15,1.18570763
16,0.47537130
17,1.92427214
18,1.44691707
19,1.44605284
20,1.64343656
21,1.04505067
22,2.46000989
23,1.29654231
24,2.34089590
25,1.48849591
26,2.41214058
27,0.01616596
28,0.92125742
29,2.42422102
30,1.26344231
31,1.78569095
32,1.50751544
33,1.40539597
34,1.60410117
35,1.25105273
36,2.19858161
37,1.17982340
38,1.26568003
39,0.64121695
40,1.00361540
41,0.94246270
42,0.60572060
43,2.31279429
44,0.45832949
45,0.95950375
46,1.63715872
47,0.64165207
48,1.88059337
49,0.20653302
50,2.22871044
51,0.85631191
52,1.90629608
53,0.06696981
54,2.12196538
55,0.95993547
56,0.89246710
57,2.01250871
58,2.34102104
59,0.11343478
60,1.48217744
61,1.13324958
62,0.37013516
63,1.43722315
64,0.03929158
65,0.04588600
66,1.83549503
67,0.44562017
68,1.69239330
69,0.21583383
70,1.11512116
71,1.09819152
72,0.31627193
73,2.14795186
74,2.32400101
75,1.35470569
76,2.32469301
77,0.90562596
78,1.05094883
79,1.17535702
80,1.52002392
81,2.18886321
82,2.32431729
83,2.38800482
84,0.87950861
85,0.17296728
86,0.62840621
87,1.72572717
88,1.88313437
89,1.08160060
90,1.52296374
91,0.34256846
92,0.83738019
93,1.72223145
94,1.03309483
95,0.38120471
96,1.68006043
97,1.89337902
98,0.64553914
99,0.18018420
100,0.63267586
101,2.34665859
102,1.55347652
103,0.13115352
104,0.18309849
105,1.49525872
106,1.16386704
107,0.69673239
108,2.12017640
109,1.20972311
110,2.16575842
111,2.09217063
112,0.93374417
113,1.05496128
114,1.36976501
115,0.39280959
116,0.81131843
117,0.55863674
118,0.03777960
119,1.15239715
120,1.36921069
121,1.91285175
122,2.32457602
123,1.64243502
124,1.79850184
125,1.25622554
126,0.13152471
127,0.76783678
128,2.27487684
129,0.08275752
130,1.25222473
131,2.24999256
132,2.00033445
133,1.83818831
134,1.10529474
135,0.44349077
136,1.36638594
137,1.55754931
138,1.66388087
139,1.47634197
140,0.17866753
141,1.93281413
142,0.60926328
143,2.07617528
144,0.25049570
145,0.11706748
146,1.58397108
147,0.10323571
148,0.36575180
149,0.52473304
150,2.20754050
151,0.62986463
152,0.73198382
153,2.14844601
154,1.26865173
155,1.03562945
156,0.61518189
157,1.24636129
158,1.66405001
159,0.35719336
160,1.15002029
161,0.86966202
162,1.52078475
163,0.67344933
164,0.21017541
165,0.68354372
166,1.67303495
167,1.55036242
168,1.66254969
169,2.42948848
170,0.80269286
171,1.56240462
172,0.95620411
173,2.22091109
174,0.67005729
175,2.00664867
176,1.93806288
177,1.36094861
178,1.80311764
179,0.05694602
180,1.83874745
181,1.81670138
182,0.74454199
183,0.54187070
184,1.31574187
185,1.28400099
186,0.59067116
187,2.30736470
188,1.57132856
189,0.02536207
190,1.19191500
191,1.78209575
192,0.85659654
193,1.28316459
194,1.91280393
195,0.86368950
196,2.00020018
197,2.39492959
198,0.16563851
199,2.10993959
200,1.17565330
201,1.37628554
202,2.29891267
203,0.59065730
204,0.29765512
205,0.47333522
206,1.46101588
207,1.33136760
208,1.48378720
209,0.43611833
210,0.72219150
211,1.37462337
212,2.45541218
213,0.58167181
214,0.81452821
215,0.47005483
216,1.30496930
217,0.70402995
218,2.16103495
219,0.91159857
220,0.17661754
221,1.25777088
222,1.70421899
223,0.78509054
224,0.48559450
225,2.06957028
226,2.33788926
227,0.17792668
228,2.45114696
229,0.48462467
230,0.67671829
231,2.41914432
232,1.94632095
233,1.35282884
234,1.26163069
235,2.44283384
236,1.55214010
237,0.44760988
238,2.20378959
239,2.35546258
240,2.16303191
241,0.19250898
242,2.22744760
243,1.61468120
244,0.89923598
245,0.12929816
246,2.40936379
247,1.73289466
248,0.33162058
249,0.04273081
250,0.75934200
251,1.12017713
