mode,regime,run_id,step,token,entropy,fisher_trace
baseline,philosophical,philosophical_r0,0,The,1.25127405,
baseline,philosophical,philosophical_r0,1, nature,0.52777989,
baseline,philosophical,philosophical_r0,2, of,0.00227822,
baseline,philosophical,philosophical_r0,3, time,0.00056946,
baseline,philosophical,philosophical_r0,4, is,0.29207159,
baseline,philosophical,philosophical_r0,5, one,0.68079753,
baseline,philosophical,philosophical_r0,6, of,0.00030144,
baseline,philosophical,philosophical_r0,7, the,0.04494405,
baseline,philosophical,philosophical_r0,8, most,0.28981692,
baseline,philosophical,philosophical_r0,9, fundamental,0.91169843,
baseline,philosophical,philosophical_r0,10, and,0.57307084,
baseline,philosophical,philosophical_r0,11, mysterious,2.31137811,
baseline,philosophical,philosophical_r0,12, aspects,0.75007344,
baseline,philosophical,philosophical_r0,13, of,0.00894179,
baseline,philosophical,philosophical_r0,14, our,0.67898372,
baseline,philosophical,philosophical_r0,15, universe,0.53537907,
baseline,philosophical,philosophical_r0,16,",",0.64511226,
baseline,philosophical,philosophical_r0,17, and,1.87394511,
baseline,philosophical,philosophical_r0,18, understanding,1.53645826,
baseline,philosophical,philosophical_r0,19, its,0.40853701,
baseline,philosophical,philosophical_r0,20, nature,0.98256951,
baseline,philosophical,philosophical_r0,21, has,1.52569049,
baseline,philosophical,philosophical_r0,22, been,1.03462677,
baseline,philosophical,philosophical_r0,23, a,0.39561573,
baseline,philosophical,philosophical_r0,24, quest,2.27451130,
baseline,philosophical,philosophical_r0,25, for,1.22572246,
baseline,philosophical,philosophical_r0,26, human,1.88931957,
baseline,philosophical,philosophical_r0,27, knowledge,1.72173680,
baseline,philosophical,philosophical_r0,28, throughout,1.27314335,
baseline,philosophical,philosophical_r0,29, history,0.26518131,
baseline,philosophical,philosophical_r0,30,.,0.25865063,
baseline,philosophical,philosophical_r0,31, There,2.25601219,384.43920555
