step,entropy
0,0.00634990
1,0.01720847
2,0.00390211
3,0.00152309
4,0.00171215
5,0.00906947
6,0.00638297
7,0.01269257
8,0.02646090
9,0.01712762
10,0.00341639
11,0.02020488
12,0.04712442
13,0.00539369
14,0.01951832
15,0.00143725
16,0.01289171
17,0.00373585
18,0.00145130
19,0.00339083
20,0.01086297
21,0.00634998
22,0.00781467
23,0.00401853
24,0.00567557
25,0.00991547
26,0.01909273
27,0.00864654
28,1.77608037
29,0.00094869
30,0.01250367
31,0.02963973
32,0.00633890
33,0.00186681
34,0.02059307
35,0.00433364
36,0.00216295
37,0.00116093
38,0.00631585
39,0.00189042
40,0.02396430
41,0.01608138
42,0.01938473
43,0.03120038
44,0.00349625
45,0.01093034
46,0.00317144
47,0.00433840
48,0.00373252
49,0.02671866
50,0.01433200
51,0.00048379
52,0.00405224
53,0.00132305
54,0.00980395
55,0.50360043
56,0.05542576
57,0.00300335
58,0.00092482
59,0.01965113
60,0.02671487
61,0.00364958
62,0.00383861
63,0.00378567
64,0.00301362
65,0.00019804
66,0.00120303
67,0.00720713
68,0.00364718
69,0.00370450
70,0.00420287
71,0.00374512
72,0.00164114
73,0.01701605
74,0.00086002
75,0.01402248
76,0.01558257
77,0.00859223
78,0.02665241
79,0.00139886
80,0.00301711
81,0.00045715
82,0.00013127
83,0.00365376
84,0.00679143
85,0.00278317
86,0.00991893
87,0.00053398
88,0.00393353
89,0.01293166
90,0.01357226
91,0.00405492
92,0.00373577
93,0.00204238
94,0.01295509
95,0.00629612
96,0.00236932
97,0.00084389
98,0.00076630
99,0.00119056
100,0.00877315
101,0.01287771
102,0.00106872
103,0.01521081
104,0.00408440
105,0.00117468
106,0.01288469
107,0.00124999
108,0.00137717
109,0.00974682
110,0.00792814
111,0.00045741
112,0.00130084
113,0.01954033
114,0.00683522
115,0.00243828
116,0.00255622
117,0.01828985
118,0.00124377
119,0.00114477
120,0.00349199
121,0.00220385
122,0.02323576
123,0.00813311
124,0.00228525
125,0.00362619
126,0.01027973
127,0.01578289
128,0.00330164
129,0.02797106
130,0.00143518
131,0.00552964
132,0.00405467
133,0.00378233
134,0.00388483
135,0.00325282
136,0.00373485
137,0.00506752
138,0.00360178
139,0.02614385
140,0.09058809
141,0.03268648
142,0.01382856
143,0.00585268
144,0.00663681
145,0.01947035
146,0.00115080
147,0.00135307
148,0.00076743
149,0.01981840
150,0.00035715
151,0.00366281
152,0.01124214
153,0.00028535
154,0.02355129
155,0.00042645
156,0.00089329
157,0.00614525
158,0.00401551
159,0.01652772
160,0.00795594
161,0.00367871
162,0.00454512
163,0.06699459
164,0.00646585
165,0.01121632
166,0.00967423
167,0.02185315
168,0.00280980
169,0.00678849
170,0.00410574
171,0.00174678
172,0.01421032
173,0.00180617
174,0.00829087
175,0.00937007
176,0.01014218
177,0.00109625
178,0.00122026
179,0.00647945
180,0.00996298
181,0.01852160
182,0.01116462
183,0.01742068
184,0.00622198
185,0.03988634
186,0.00136582
187,0.00285892
188,0.00135767
189,0.01079157
190,0.00114778
191,0.00139020
192,0.00134045
193,0.00368181
194,0.00119022
195,0.00115082
196,0.01121312
197,0.03240899
198,0.00172963
199,0.00732701
200,0.00019181
201,0.00156741
202,0.00142175
203,0.00170114
204,0.00329866
205,0.01514446
206,0.00344280
207,0.00175991
208,0.08547301
209,0.00579638
210,0.00124871
211,0.00363635
212,0.00145250
213,0.27542249
214,0.00752536
215,0.00108765
216,0.00238357
217,0.00986745
218,0.01042265
219,0.00326746
220,0.00531837
221,0.00873014
222,0.00362604
223,0.01259663
224,0.00899630
225,0.00156223
226,0.00827781
227,0.00644977
228,0.00088024
229,0.01508828
