regime,prompt,layer,t,F
factual,0,0,0,89.63520050048828
factual,0,0,1,92.00246810913086
factual,0,0,2,85.73916371663411
factual,0,0,3,81.66211891174316
factual,0,0,4,70.08358688354492
factual,0,0,5,70.4235897064209
factual,0,0,6,70.65301132202148
factual,0,0,7,70.36773633956909
factual,0,0,8,76.76596366034613
factual,0,0,9,78.39324378967285
factual,0,0,10,75.95066902854226
factual,0,0,11,74.53066476186116
factual,0,0,12,72.04068403977614
factual,0,0,13,68.52474471500942
factual,0,0,14,65.69180539449056
factual,0,0,15,65.41391456127167
factual,0,0,16,65.69148198296043
factual,0,0,17,66.26967016855876
factual,0,0,18,66.18576240539551
factual,0,0,19,65.55988264083862
factual,0,0,20,66.13143948146275
factual,0,0,21,65.67185150493275
factual,0,0,22,66.12736386838166
factual,0,0,23,66.83364176750183
factual,0,0,24,67.60886207580566
factual,0,0,25,68.22434740800124
factual,0,0,26,68.62610294200756
factual,0,0,27,68.76640980584281
factual,0,0,28,68.72253529778843
factual,0,0,29,69.40280412038167
factual,0,0,30,69.71892922924411
factual,0,0,31,68.60902238661244
factual,0,0,32,67.56404870556247
factual,0,0,33,67.83210132968041
factual,0,0,34,68.07146644592285
factual,0,0,35,70.81248849438083
factual,0,0,36,70.74143175924978
factual,0,0,37,69.21199638612809
factual,0,0,38,67.84961866563366
factual,0,0,39,66.21611410571683
factual,0,0,40,65.27900431233067
factual,0,0,41,64.41073565329275
factual,0,0,42,64.85480788446242
factual,0,0,43,65.68653555839292
factual,0,0,44,67.36486877933625
factual,0,0,45,67.83745907198998
factual,0,0,46,67.03556749897618
factual,0,0,47,66.6353028820407
factual,0,0,48,65.7890145086473
factual,0,0,49,65.36565768334174
factual,0,0,50,65.91730154714277
factual,0,0,51,65.63386068036479
factual,0,0,52,66.41758715721869
factual,0,0,53,66.24343539822486
factual,0,0,54,65.77880330239573
factual,0,0,55,65.6736690152076
factual,0,0,56,65.8847541809082
factual,0,0,57,65.27415355559319
factual,0,0,58,64.01284826955488
factual,0,0,59,62.82402844582835
factual,0,0,60,61.031708440473004
factual,0,0,61,62.24516954729634
factual,0,0,62,63.39162660414173
factual,0,0,63,62.750563283120435
factual,0,0,64,62.89744315608855
factual,0,0,65,63.710021665019376
factual,0,0,66,61.983996914279075
factual,0,0,67,60.78212534996771
factual,0,0,68,61.53221844088647
factual,0,0,69,63.78709823854508
factual,0,0,70,63.60316411910519
factual,0,0,71,62.89408216168803
factual,0,0,72,63.59101984577794
