regime,prompt,layer,t,F
factual,0,0,0,88.50717163085938
factual,0,0,1,94.39334487915039
factual,0,0,2,92.02304077148438
factual,0,0,3,77.83907508850098
factual,0,0,4,72.55308532714844
factual,0,0,5,70.33500798543294
factual,0,0,6,66.56273324148995
factual,0,0,7,63.96758699417114
factual,0,0,8,64.05910110473633
factual,0,0,9,68.24318809509278
factual,0,0,10,70.04777630892667
factual,0,0,11,69.1728909810384
factual,0,0,12,69.12765913743239
factual,0,0,13,68.93936320713588
factual,0,0,14,68.1360580444336
factual,0,0,15,65.96312689781189
factual,0,0,16,64.22339001823875
factual,0,0,17,67.14200676812067
factual,0,0,18,69.50251930638363
factual,0,0,19,70.08842391967774
factual,0,0,20,69.59815797351655
factual,0,0,21,68.60008482499556
factual,0,0,22,67.34411223038383
factual,0,0,23,65.88420311609904
factual,0,0,24,66.70367904663085
factual,0,0,25,67.75153981722318
factual,0,0,26,66.13380813598633
factual,0,0,27,65.36224188123431
factual,0,0,28,66.35832280126111
factual,0,0,29,66.52593116760254
factual,0,0,30,65.20585312381867
factual,0,0,31,64.2439094051238
factual,0,0,32,63.72296745546402
factual,0,0,33,62.99992333689043
factual,0,0,34,64.08658267605689
factual,0,0,35,64.5051391355453
factual,0,0,36,64.16363168531849
factual,0,0,37,63.80838861773091
factual,0,0,38,63.628531425229966
factual,0,0,39,62.89156649189611
factual,0,0,40,60.52138482370684
factual,0,0,41,57.69465676815279
factual,0,0,42,56.737984961079015
factual,0,0,43,55.296165739336324
factual,0,0,44,53.67350802498479
factual,0,0,45,52.576315014593064
factual,0,0,46,52.56456660839819
factual,0,0,47,55.051060980366124
factual,0,0,48,55.432412328258636
factual,0,0,49,53.35929159579739
factual,0,0,50,51.8094650045518
factual,0,0,51,50.96282087987469
factual,0,0,52,50.50773217216615
factual,0,0,53,50.29426848119305
factual,0,0,54,51.82210974154934
factual,0,0,55,51.49253343382189
factual,0,0,56,50.361654370061814
factual,0,0,57,51.15373072701116
factual,0,0,58,49.731998682022095
factual,0,0,59,46.923661408885835
factual,0,0,60,45.926727933268396
factual,0,0,61,46.160174239066336
factual,0,0,62,44.27955808466481
factual,0,0,63,42.57398595636891
factual,0,0,64,44.06260413027579
factual,0,0,65,45.12419254068406
factual,0,0,66,44.2702367488415
factual,0,0,67,43.90572224413195
factual,0,0,68,43.86397875028272
factual,0,0,69,43.767650630204905
factual,0,0,70,43.40354109867926
factual,0,0,71,43.77656163996266
factual,0,0,72,44.744438416534855
factual,0,0,73,43.79797352802369
factual,0,0,74,43.896633597150924
factual,0,0,75,43.90021412122634
factual,0,0,76,43.99629816220653
factual,0,0,77,44.03347644786681
factual,0,0,78,41.3396561712988
factual,0,0,79,37.455602694903654
factual,0,0,80,38.82316735771395
factual,0,0,81,40.25741526676762
factual,0,0,82,39.43690449480088
factual,0,0,83,38.4976528258093
factual,0,0,84,38.32934948994267
factual,0,0,85,36.412243661380586
factual,0,0,86,34.8597817295982
factual,0,0,87,33.11171665787697
factual,0,0,88,31.548263205155248
factual,0,0,89,32.390699015029014
factual,0,0,90,33.579203849357945
factual,0,0,91,35.70848467801848
factual,0,0,92,38.31284027474542
factual,0,0,93,39.565218243387434
factual,0,0,94,39.87185757631256
factual,0,0,95,36.301862037470265
factual,0,0,96,33.91385687310849
factual,0,0,97,33.20795483502649
factual,0,0,98,32.84399272309196
factual,0,0,99,33.330980175445156
factual,0,0,100,33.49555359876925
factual,0,0,101,32.763030572764336
factual,0,0,102,31.488489348561533
factual,0,0,103,31.4041975212674
factual,0,0,104,32.21820203094713
factual,0,0,105,32.17615569935691
factual,0,0,106,32.494988281399976
factual,0,0,107,32.78358071225305
factual,0,0,108,32.66552795277488
factual,0,0,109,32.68381585757579
factual,0,0,110,33.45130664446661
factual,0,0,111,30.57805263755783
factual,0,0,112,28.944818305873103
factual,0,0,113,29.514260101222224
factual,0,0,114,29.393532367963946
factual,0,0,115,28.512327197578646
factual,0,0,116,28.72200024848984
factual,0,0,117,28.64452596201051
factual,0,0,118,28.513222142092644
factual,0,0,119,29.57345734392443
factual,0,0,120,29.71738691772184
factual,0,0,121,28.3309323239711
factual,0,0,122,25.7626152182779
factual,0,0,123,22.923444516235783
factual,0,0,124,22.69553875057928
factual,0,0,125,22.34157397573994
factual,0,0,126,23.323432103280098
factual,0,1,0,94.98346710205078
factual,0,1,1,100.99836730957031
factual,0,1,2,99.72290547688802
factual,0,1,3,83.28701400756836
factual,0,1,4,76.96476440429687
factual,0,1,5,73.64675267537434
factual,0,1,6,69.57022748674665
factual,0,1,7,70.07733917236328
factual,0,1,8,73.24510362413194
factual,0,1,9,73.96080322265625
factual,0,1,10,74.5114253651012
factual,0,1,11,75.32001050313313
factual,0,1,12,76.46075498140775
factual,0,1,13,76.47205788748605
factual,0,1,14,76.02384643554687
factual,0,1,15,73.32638931274414
factual,0,1,16,71.4584913814769
factual,0,1,17,74.89478704664442
factual,0,1,18,78.8303317019814
factual,0,1,19,80.14340229034424
factual,0,1,20,79.71586554391044
factual,0,1,21,79.06566671891646
factual,0,1,22,77.40176640386167
factual,0,1,23,76.85134490331014
factual,0,1,24,79.45497177124024
factual,0,1,25,80.9665343944843
factual,0,1,26,79.25219133165147
factual,0,1,27,78.59268024989537
factual,0,1,28,79.37614019985857
factual,0,1,29,79.59040018717448
factual,0,1,30,78.16110081826487
factual,0,1,31,78.44980842836442
factual,0,1,32,77.93134332472279
factual,0,1,33,76.96874089394846
factual,0,1,34,78.14616123322517
factual,0,1,35,78.66261931388608
factual,0,1,36,79.40601718041205
factual,0,1,37,78.91394227550876
factual,0,1,38,77.96491364509829
factual,0,1,39,77.01064989643712
factual,0,1,40,76.34373301844442
factual,0,1,41,73.79473511634335
factual,0,1,42,72.10672591578576
factual,0,1,43,70.12515754853526
factual,0,1,44,68.40809641345855
factual,0,1,45,66.98573343984542
factual,0,1,46,67.05352270218634
factual,0,1,47,69.85260641190314
factual,0,1,48,69.5342861683138
factual,0,1,49,65.73534704792884
factual,0,1,50,63.2902029483549
factual,0,1,51,62.017350512166175
factual,0,1,52,60.94434778921066
factual,0,1,53,60.64174717472446
factual,0,1,54,61.65872946862252
factual,0,1,55,59.64142747848265
factual,0,1,56,57.82918503207545
factual,0,1,57,58.751481617650676
factual,0,1,58,56.839898382463765
factual,0,1,59,53.971229426322445
factual,0,1,60,53.23276445557994
factual,0,1,61,53.87925769052198
factual,0,1,62,50.55133267564158
factual,0,1,63,48.550738997997776
factual,0,1,64,50.48708769775206
