regime,prompt,layer,t,F
factual,0,0,0,94.31961059570312
factual,0,0,1,93.80245971679688
factual,0,0,2,93.20970153808594
factual,0,0,3,93.04442977905273
factual,0,0,4,92.5591827392578
factual,0,0,5,92.36744562784831
factual,0,0,6,92.00464194161552
factual,0,0,7,91.7531623840332
factual,0,0,8,91.42671034071181
factual,0,0,9,91.1627311706543
factual,0,0,10,90.84315560080789
factual,0,0,11,90.60692914326985
factual,0,0,12,90.31883591871996
factual,0,0,13,90.08993857247489
factual,0,0,14,89.86580352783203
factual,0,0,15,89.71578073501587
factual,0,0,16,89.49127870447495
factual,0,0,17,89.29091008504231
factual,0,0,18,89.0758325677169
factual,0,0,19,88.91189498901367
factual,0,0,20,88.73591722760882
factual,0,0,21,88.57432001287287
factual,0,0,22,88.38932800292969
factual,0,0,23,88.2200444539388
factual,0,0,24,88.03076904296876
factual,0,0,25,87.8743162888747
factual,0,0,26,87.72081954390914
factual,0,0,27,87.59185191563198
factual,0,0,28,87.46875631398169
factual,0,0,29,87.3510342915853
factual,0,0,30,87.19217411164314
factual,0,0,31,86.81747387301537
factual,0,0,32,86.46388343072707
factual,0,0,33,86.14949675529233
factual,0,0,34,85.80575659967238
factual,0,0,35,85.52609449817288
factual,0,0,36,85.2081795969317
factual,0,0,37,84.93898428640058
factual,0,0,38,84.66502035817793
factual,0,0,39,84.44334485453945
factual,0,0,40,84.20771371164629
factual,0,0,41,83.98997251449093
factual,0,0,42,83.76222253614857
factual,0,0,43,83.5831786124937
factual,0,0,44,83.36785667173324
factual,0,0,45,83.16126275831654
factual,0,0,46,82.90946271342617
factual,0,0,47,82.71874778501449
factual,0,0,48,82.52968572801159
factual,0,0,49,82.36813748267389
factual,0,0,50,82.17939856744582
factual,0,0,51,82.01417541503906
factual,0,0,52,81.83855905840474
factual,0,0,53,81.68970169559601
factual,0,0,54,81.53858701644405
factual,0,0,55,81.41095807475429
factual,0,0,56,81.24180406139743
factual,0,0,57,81.08364622054562
factual,0,0,58,80.91644090221774
factual,0,0,59,80.74827772571194
factual,0,0,60,80.56508168866557
factual,0,0,61,80.44628143310547
factual,0,0,62,80.33444558420489
factual,0,0,63,80.22711058585874
factual,0,0,64,80.11993211315524
factual,0,0,65,80.01949064193234
factual,0,0,66,79.89459105460874
factual,0,0,67,79.78033028879473
factual,0,0,68,79.66917099491242
factual,0,0,69,79.56364342474168
factual,0,0,70,79.44706603019468
factual,0,0,71,79.34942159345073
factual,0,0,72,79.25927094490298
